Type,URL
USER URL,https://www.instagram.com/ssneuron/
USER URL,https://www.instagram.com/tattooist.onyx/
USER URL,https://www.instagram.com/maclow/
USER URL,https://www.instagram.com/geraldine.josephine_tattoo/
USER URL,https://www.instagram.com/fredao_oliveira/
USER URL,https://www.instagram.com/plantsnpokes/
USER URL,https://www.instagram.com/tattoos_of_inkedmag/
USER URL,https://www.instagram.com/traditional.ink/
USER URL,https://www.instagram.com/alvarito_runner/
USER URL,https://www.instagram.com/grim_antihero/
USER URL,https://www.instagram.com/vonntattoos/
USER URL,https://www.instagram.com/bennu_blake/
USER URL,https://www.instagram.com/street_tattoo_lounge/
USER URL,https://www.instagram.com/pinzy.tattoos/
USER URL,https://www.instagram.com/hermana.tattoostudio/
USER URL,https://www.instagram.com/sydney_osso/
USER URL,https://www.instagram.com/phiibrows.shabnaam/
USER URL,https://www.instagram.com/yougotthis_e/
USER URL,https://www.instagram.com/yuripetrucci/
USER URL,https://www.instagram.com/annna_havannna/
USER URL,https://www.instagram.com/hattiejcox_tattoo/
USER URL,https://www.instagram.com/heebeejeebeestattoo/
USER URL,https://www.instagram.com/kira_tattoos/
USER URL,https://www.instagram.com/tattooist__irang/
USER URL,https://www.instagram.com/voxytwitch/
USER URL,https://www.instagram.com/cfuckingr/
USER URL,https://www.instagram.com/kajetankarczewski/
USER URL,https://www.instagram.com/aradhill_the_wizard/
USER URL,https://www.instagram.com/alirezatattoo.art/
USER URL,https://www.instagram.com/monkeynoma_tattoo/
USER URL,https://www.instagram.com/coaching_jenny/
USER URL,https://www.instagram.com/sabotagenick13/
USER URL,https://www.instagram.com/ohmyfred/
USER URL,https://www.instagram.com/ms.slickmahon/
USER URL,https://www.instagram.com/tmnt_wiz/
USER URL,https://www.instagram.com/narythe3rd/
USER URL,https://www.instagram.com/darkauratattoo/
USER URL,https://www.instagram.com/cidineiaraitz_/
USER URL,https://www.instagram.com/mriconicofficial2.0/
USER URL,https://www.instagram.com/sushen___/
USER URL,https://www.instagram.com/bbblackwork/
USER URL,https://www.instagram.com/gainzrider/
USER URL,https://www.instagram.com/emma.day/
USER URL,https://www.instagram.com/713tattoo/
USER URL,https://www.instagram.com/francesco_cuomo__/
USER URL,https://www.instagram.com/un_loup/
USER URL,https://www.instagram.com/lukeaashley/
USER URL,https://www.instagram.com/jaredleathers/
USER URL,https://www.instagram.com/koibitotattoo/
USER URL,https://www.instagram.com/liamashurst/
